City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lihue,21.9789,-159.3672,301.73,75,75,7.72,US,1699924209
84,aitape,-3.1374,142.3475,302.03,75,100,1.24,PG,1699924209
85,invercargill,-46.4,168.35,288.14,55,74,4.96,NZ,1699924210
86,ajaokuta,7.5623,6.655,300.32,76,98,0.89,NG,1699924210
87,san pedro pochutla,15.7333,-96.4667,301.99,83,24,1.22,MX,1699924210
88,nanakuli,21.3906,-158.1547,302.12,58,0,6.17,US,1699924211
89,tolanaro,-25.0319,46.9987,294.31,81,18,2.07,MG,1699924211
90,faya-largeau,17.9257,19.1043,298.34,19,88,11.05,TD,1699924211
91,ribeira grande,38.5167,-28.7,289.14,90,100,1.79,PT,1699924212
92,ilulissat,69.2167,-51.1,268.16,68,75,3.09,GL,1699924212
93,hermanus,-34.4187,19.2345,288.79,77,11,9.8,ZA,1699924212
94,ghanzi,-21.5667,21.7833,300.03,28,25,2.15,BW,1699924213
95,port alfred,-33.5906,26.891,287.14,94,94,5.23,ZA,1699924194
96,vadso,70.0744,29.7487,265.24,86,20,6.69,NO,1699924214
97,kalmunai,7.4167,81.8167,298.22,89,70,1.73,LK,1699924214
98,prainha,-1.8,-53.48,302.05,45,100,1.47,BR,1699924214
99,yylanly,-1.8,-53.48,302.05,45,100,1.47,BR,1699924214
100,haiku-pauwela,20.9219,-156.3051,300.16,63,20,7.2,US,1699924215
101,santana,-0.0583,-51.1817,302.25,79,20,4.12,BR,1699924215
102,college,64.8569,-147.8028,270.41,91,100,0.0,US,1699924216
103,daru,-9.0763,143.2092,302.1,58,28,3.56,PG,1699924216
104,anchorage,61.2181,-149.9003,272.57,93,75,1.54,US,1699924146
105,muynoq,43.7683,59.0214,279.06,48,61,5.63,UZ,1699924217
106,newman,37.3138,-121.0208,294.42,52,99,2.73,US,1699924217
107,kone,-21.0595,164.8658,301.42,40,5,3.98,NC,1699924218
108,kuantan,3.8077,103.326,300.17,84,63,1.71,MY,1699924218
109,male,4.1748,73.5089,300.12,83,75,2.06,MV,1699924218
110,sampit,-2.5333,112.95,301.5,77,34,1.23,ID,1699923964
111,puerto ayora,-0.7393,-90.3518,297.34,97,100,0.89,EC,1699924193
112,ytyk-kyuyel',-0.7393,-90.3518,297.34,97,100,0.89,EC,1699924193
113,marquette,46.5333,-87.6335,274.46,78,6,2.39,US,1699924220
114,san antonio de pale,-1.4014,5.6325,299.32,81,31,3.48,GQ,1699924026
115,crane,31.3974,-102.3501,284.35,83,100,3.49,US,1699924221
116,uturoa,-16.7333,-151.4333,300.1,83,61,6.91,PF,1699924221
117,soron,27.8833,78.75,292.37,43,100,1.26,IN,1699924222
118,punta arenas,-53.15,-70.9167,275.99,69,18,5.95,CL,1699924128
119,fuvahmulah,-53.15,-70.9167,275.99,69,18,5.95,CL,1699924128
120,coronel suarez,-37.4547,-61.9334,283.96,42,0,3.84,AR,1699924222
121,igarapava,-20.0383,-47.7469,300.98,31,80,1.37,BR,1699924155
122,tondano,1.3038,124.9112,299.2,70,93,0.46,ID,1699924174
123,guatire,10.4762,-66.5427,299.93,97,100,0.99,VE,1699924187
124,iskateley,67.6803,53.1512,262.05,88,100,4.02,RU,1699924224
